,MusicBrainz ID
Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e
Tame Impala,63aa26c3-d59b-4da4-84ac-716b54f1ef4d
Billie Eilish,f4abc0b5-3f7a-4eff-8f78-ac078dbce533
Post Malone,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19
Roddy Ricch,5721c227-4caf-48b1-bbfc-1a4ed3276963
MONSTA X,b6b21b0c-a706-4b46-a929-bd4d21b06cad
A Boogie Wit da Hoodie,c1708d03-8a66-46eb-848e-fe0d233ffb39
The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9
Luke Combs,c20ee61f-071f-4e65-9c81-45ee931a54ce
DaBaby,87ae83df-6173-40cc-a0f2-bad543faa6aa
Halsey,3377f3bb-60fc-4403-aea9-7e800612e060
BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853
Lewis Capaldi,526aab94-697f-44a9-b630-41d1c0505953
Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6
Jonas Brothers,6e019bc6-5c23-4935-94f0-4a896631d846
Taylor Swift,20244d07-534f-4eff-b4d4-930878889970
Lizzo,8fb5370b-9568-4b61-9da5-2aa12c9928db
Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe
Lil Baby,d42a5768-ada1-4fb6-85fd-f61aba6264e0
Harry Styles,7eb1ce54-a355-41f9-8d68-e018b096d427
Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f
Khalid,28737730-ec70-4da5-89c5-77ac13c5c34d
Juice WRLD,4e4ebde4-0c56-4dec-844b-6c73adcdd92d
Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
Tones And I,663f33f4-8e5f-4773-93ea-493a1135de9a
Arizona Zervas,aa4296e3-f61c-46b5-b4fa-abce5bb62ffb
Selena Gomez,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3
Sam Smith,5a85c140-dcf9-4dd2-b2c8-aff0471549f3
Future,48262e82-db9f-4a92-b650-dfef979b73ec
Travis Scott,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6
blackbear,e07d9474-00ea-4460-ac27-88b46b3d976e
YoungBoy Never Broke Again,127d8614-0876-4408-886c-6f110b047a78
Dan + Shay,33cf3954-10af-4dcb-985f-9420d1fa4168
Kane Brown,a62e299b-4707-4ff5-ad53-d80b2b03319d
Camila Cabello,01b8b5bf-06cb-45da-85fb-61ada72fcd69
Pop Smoke,253c9ae7-850b-46be-8fbb-65e9fa621058
Barry Manilow,7bb60591-46f3-4147-b692-1814a87e832e
Blake Shelton,2ad66473-ccb3-41d2-8756-b56680cdfe62
EDEN,3fd78e94-efeb-43a1-bc19-ad2dd1afbd5a
Maren Morris,109357f0-eb37-4672-9697-dca8c83a61b5
Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5
Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
Morgan Wallen,2077273e-eaa1-4f49-903c-f286ededecb9
Ariana Grande,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387
J Balvin,5bdeb32d-56a5-4b6d-a768-264101fa0a0a
Queen,0383dadf-2a4e-4d10-a46a-e9e041da8eb3
Bad Bunny,89aa5ecb-59ad-46f5-b3eb-2d424e941f19
Young Thug,800760de-bdf8-43a2-8fe0-44a2401a5515
Shawn Mendes,b7d92248-97e3-4450-8057-6fe06738f735
Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3
Panic! At The Disco,b9472588-93f3-4922-a1a2-74082cdf9ce8
Lil Nas X,0b30341b-b59d-4979-8130-b66c0e475321
Sam Hunt,b27229bb-5669-4e98-b4ce-0158b2451fe8
Jason Aldean,f24df11a-7e35-4979-a4db-a3b2a170ce27
Doja Cat,5df62a88-cac9-490a-b62c-c7c88f4020f4
Lynyrd Skynyrd,c544ed4d-2390-4442-a83e-1ea2883b09c8
The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d
Old Dominion,a320c615-206f-452f-9a9b-13ea15f8c0eb
Rod Wave,cb3d3e49-bf08-4cdb-bfa8-4dc7c458cea1
Summer Walker,9167f739-da47-4495-9d63-9c13b40114ac
Lauren Daigle,920c7a88-f8f3-482f-96ef-810c6442fc3e
Luke Bryan,aab35942-f176-4f77-bbf9-1d6aa98ccf3f
Lil Uzi Vert,8837b875-3689-4646-b3fd-d8b53815c7a8
Huey Lewis & The News,2be6ae30-d220-4419-80da-2a46813ed872
Green Day,084308bd-1654-436f-ba03-df6697104e19
Trevor Daniel,6eb5cc6b-8553-4049-abf5-1ace1b6d9e59
Mustard,0612bcce-e351-40be-b3d7-2bb5e1c23479
YNW Melly,59d6cea7-3771-4ce6-8c02-395ac5ba927a
Alejandro Fernandez,772a8360-e81e-4647-92e2-195c19efddad
Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b
NCT 127,9d17d14a-e81c-410e-a90b-b02b0a9de6f8
Chris Stapleton,71d58182-aa37-4c04-b21a-efe46ea0f221
Gabby Barrett,b779262a-e5c0-4ca1-b412-e2fbb5ea7318
SHAED,f9777ea6-02fd-4ba1-8266-cd619f3937fd
Jon Pardi,ad590765-191c-4c07-9d64-49633488e9a8
Metallica,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab
XXXTENTACION,61af87f4-16ee-4431-8504-cc06187079fb
Nathaniel Rateliff,da54c619-9e9f-4e57-9cce-cddfa09345df
Gunna,100b8734-f4f0-4536-9960-47f7c59d1b4c
Elton John,b83bc61f-8451-4a5d-8b8e-7e9ed295e822
J. Cole,875203e1-8e58-4b86-8dcb-7190faf411c5
Brett Young,2ec5396e-4fe9-4918-867f-34370e012093
Thomas Rhett,bca8bfc0-9d5b-449b-b713-914596f88d56
P!nk,f4d5cc07-3bc9-4836-9b15-88a08359bc63
Megan Thee Stallion,ee27b2d8-648c-4a9d-a68c-e55066959975
Carly Pearce,199affdb-93c0-4a9d-a4d0-26dc4fa01806
Cardi B,2f3c4d70-0462-40da-bba3-0aec5772c556
The Lumineers,bfcb6630-9b31-4e63-b11f-7b0363be72b5
H.E.R.,85002755-85e7-484e-a831-dc47c27af2b3
Jimmie Allen,33f3276d-4d1a-46b1-9949-bbacfee41651
NLE Choppa,2873b450-13c6-4ca1-8ca3-646c25af3202
Dustin Lynch,64f8c7a9-1074-4ab7-bb2c-8397884cd38a
Adele,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493
Quavo,6143403a-df6c-429e-8ee6-ef869896b0da
Led Zeppelin,678d88b2-87b0-403b-b63d-5da7465aecc3
Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848
Fleetwood Mac,bd13909f-1c29-4c27-a874-d4aaf27c5b1a
Lady Antebellum,0eedfc95-e79a-4fd9-832a-cd816a0b3fda
Anuel AA,87a75fc3-59e7-4598-925c-8e230bce5db9
